first_block_height_in_kth_adjustment_list,last_block_height_in_kth_adjustment,total_t,avg_t_min,avg_t_sec,block_difficulty,estimated_hash_rate,estimated_hash_rate_growth,expected_event_interval
32256,34272,18277.55,9.066245039682538,543.9747023809523,1.182899534312841,9339615.963922774,0.0,600.0
34272,36288,19579.366666666665,9.711987433862433,582.719246031746,1.305062131591525,9619039.035701048,0.02947923330688693,574.2139689868437
36288,38304,14915.25,7.3984375,443.90625,1.344224970771029,13005904.48530095,0.3016590781756666,383.2059499389894
38304,40320,14529.75,7.207217261904762,432.4330357142857,1.818648536145414,18062995.517353773,0.32846195345813245,368.59105394553063
40320,42336,13488.083333333334,6.690517526455027,401.4310515873016,2.527738215072359,27044626.776272576,0.4036229461442466,330.30058561808323
42336,44352,16833.483333333334,8.34994212962963,500.9965277777778,3.781179252033766,32415476.60985428,0.1811476367651154,458.23962584795856
44352,46368,20019.85,9.93048115079365,595.828869047619,4.531081750070693,32661807.681730084,0.0075704526096415665,593.5792025169255
46368,48384,15132.966666666667,7.506431878306879,450.3859126984127,4.56516291033707,43534277.71161058,0.2873421866591443,391.45539379154894
48384,50400,15692.4,7.7839285714285715,467.0357142857143,6.085476906000794,55963438.110532,0.2511499654645038,413.0041111610292
50400,52416,13753.1,6.821974206349206,409.31845238095235,7.819796993353832,82052915.4071842,0.3826657623593714,340.10504798234393
52416,54432,17993.4,8.925297619047619,535.5178571428571,11.46431580551412,91946255.01080886,0.11383987269647663,506.16070678828424
54432,56448,21867.65,10.847048611111111,650.8229166666666,12.84918314782378,84795448.9415784,-0.08096234846566633,677.8946334839746
56448,58464,14383.55,7.13469742063492,428.0818452380952,11.84622814970471,118853819.77747223,0.3376524595561412,363.3018575770069
58464,60480,19288.966666666667,9.567939814814816,574.0763888888889,16.61907875185736,124336065.91455022,0.04509377582716299,561.3251383167699
60480,62496,18061.0,8.958829365079366,537.5297619047619,17.38148815814011,138881469.42875668,0.11063272282105928,508.8624271369248
62496,64512,16650.3,8.25907738095238,495.54464285714283,19.40479632838217,168184575.93530813,0.19144121117247617,450.99824447522474
64512,66528,10446.216666666667,5.181655092592593,310.8993055555556,23.50125722290317,324661809.73574454,0.6577220125236138,227.82287592267065
66528,68544,4825.7,2.393700396825397,143.62202380952382,45.38582234101263,1357247429.6507525,1.4304299238753657,76.3873598970012
68544,70560,15012.983333333334,7.446916335978836,446.8149801587301,181.5432893640505,1745067925.7662013,0.2513347808277229,395.0877406912904
70560,72576,13983.95,6.9364831349206355,416.18898809523813,244.2132230923753,2520219987.638123,0.36755271355768104,348.27267902397386
72576,74592,13884.6,6.887202380952381,413.2321428571429,352.1612090680101,3660220779.073836,0.3731772733502951,344.88696365308505
74592,76608,16562.2,8.215376984126985,492.9226190476191,511.7735342566043,4459220388.054676,0.19745048212262728,447.30955844979417
76608,78624,17631.433333333334,8.745750661375661,524.7450396825396,623.3869598689275,5102338093.581024,0.13472493452816742,490.93228603723253
78624,80640,15659.3,7.76750992063492,466.0505952380952,712.8848645520973,6569709834.831197,0.2527707819548364,411.8131000896675
80640,82656,14034.35,6.961483134920635,417.6889880952381,917.8307413015116,9437770995.90328,0.3622501626096601,350.39944520669206
82656,84672,19296.616666666665,9.571734457671957,574.3040674603174,1318.670050153592,9861752790.068298,0.0439440916105546,561.8682574195793
84672,86688,12938.166666666666,6.417741402116402,385.0644841269841,1378.028165037326,15370375990.974054,0.4437780993329979,310.9754992414467
86688,88704,14025.533333333333,6.957109788359788,417.4265873015873,2149.021814946726,22111620807.991726,0.3636612788361724,349.9472354774151
88704,90720,13770.683333333332,6.830696097883598,409.84176587301585,3091.736890411797,32400086906.393288,0.38205780635047065,340.63682180869097
90720,92736,13335.1,6.614632936507936,396.8779761904762,4536.353723275037,49091892353.339554,0.41553279088846773,324.74706850820957
92736,94752,17153.35,8.50860615079365,510.516369047619,6866.898648972739,57771125296.73557,0.16279519253603486,471.12767205961734
94752,96768,13302.116666666667,6.598272156084656,395.89632936507934,8078.195257925088,87638055394.78922,0.41672623740795894,323.76394512771424
96768,98784,17054.016666666666,8.459333664021164,507.5600198412699,12251.9997603745,103676286989.39854,0.1680580938230058,467.20234899169986
98784,100800,17916.133333333335,8.886970899470901,533.2182539682541,14484.1623612254,116667055541.42738,0.11805077927578664,502.9476210186403
100800,102816,17835.933333333334,8.847189153439153,530.8313492063492,16307.42093852398,131943676118.19333,0.12305093642937441,499.4710859449596
102816,104832,16910.066666666666,8.387929894179894,503.2757936507937,18437.64439216629,157347284885.66785,0.17608023265540618,461.4573857460546
104832,106848,17077.15,8.470808531746032,508.2485119047619,22012.38133799388,186016202191.0263,0.16737841036656664,467.99067049597096
106848,108864,14422.533333333333,7.154034391534391,429.24206349206344,25997.87992881442,260133042766.57242,0.33535942461519747,364.68099859652307
108864,110880,13243.466666666667,6.569179894179895,394.1507936507937,36459.88692507513,397294701625.7781,0.42348512368981567,321.32476759555783
110880,112896,14726.583333333334,7.304852843915344,438.29117063492066,55589.51812686866,544740981228.1474,0.31563209110965346,375.8593335305885
112896,114912,22273.833333333332,11.048528439153438,662.9117063492063,76192.61934751371,493647653465.5784,-0.09848840727938124,696.654884976269
114912,116928,16890.2,8.378075396825396,502.6845238095238,68977.78463020959,589350407870.402,0.17719891613189145,460.6650906642561
116928,118944,17979.65,8.918477182539684,535.1086309523811,82345.64411296662,660934673776.0236,0.1146340788414442,505.57693156255624
118944,120960,16983.4,8.424305555555556,505.45833333333337,92347.59095209427,784693528323.0673,0.1716382261911399,464.45918272494913
120960,122976,14064.4,6.976388888888889,418.5833333333333,109670.1332924774,1125294770071.6335,0.3605070663861558,351.43748051754295
122976,124992,13007.383333333333,6.452075066137566,387.124503968254,157416.4018436489,1746462160989.7092,0.43954710023005034,313.25261904692866
124992,127008,11317.15,5.613665674603174,336.8199404761905,244112.4877743364,3112806059088.0874,0.5779324697864588,255.81656215557692
127008,129024,15463.15,7.670213293650794,460.21279761904765,434877.0455276276,4058519663045.8896,0.2652937029184324,404.22552311644137
129024,131040,13044.483333333334,6.470477843915344,388.2286706349206,567269.530162422,6275693333210.865,0.43586567815037575,314.68274640311654
131040,133056,12835.816666666668,6.366972552910053,382.0183531746032,876954.4935135372,9859450045844.773,0.4517464205130245,307.3798090830347
133056,135072,17810.383333333335,8.834515542328043,530.0709325396826,1379192.288228078,11175081313087.365,0.12525602603657648,498.21735889299487
135072,137088,18647.383333333335,9.249694113756615,554.9816468253969,1563027.996116223,12096173205820.666,0.07920272178685797,533.5725487062127
137088,139104,18048.166666666668,8.952463624338625,537.1478174603175,1690895.803052393,13520193025060.928,0.11129520891551839,508.3355563503928
139104,141120,21093.583333333332,10.46308697089947,627.7852182539682,1888786.705353048,12922058201964.764,-0.045248558289814854,642.2050763039608
141120,143136,20490.15,10.163764880952382,609.8258928571429,1805700.836193673,12717443008981.018,-0.015961272826674398,614.7186886713159
143136,145152,20416.883333333335,10.127422288359789,607.6453373015873,1777774.482001465,12565690528898.076,-0.012004390374611727,611.307181285806
145152,147168,20955.133333333335,10.394411375661376,623.6646825396825,1755425.320328703,12089019231744.584,-0.038672586958157146,635.8810161337567
147168,149184,23217.516666666666,11.51662533068783,690.9975198412699,1689334.404597101,10500234532562.266,-0.1408999457166677,742.0475096970542
149184,151200,24597.65,12.201215277777779,732.0729166666667,1468195.427220831,8613692981243.626,-0.19804444918559358,809.5965573248624
151200,153216,20353.933333333334,10.09619708994709,605.7718253968254,1203461.926379965,8532634564833.29,-0.009454971632040869,608.6446501295236
153216,155232,22044.166666666668,10.934606481481483,656.0763888888889,1192497.750089478,7806619661868.812,-0.08892612415744319,686.1318174551623
155232,157248,19042.25,9.445560515873016,566.733630952381,1090715.680051267,8265943503621.382,0.05717183290219444,550.8374072464902
