first_block_height_in_kth_adjustment_list,last_block_height_in_kth_adjustment,total_t,avg_t_min,avg_t_sec,block_difficulty,estimated_hash_rate
147168,149183,23202.916666666668,11.509383267195767,690.562996031746,1689334.404597101,10506841608145.812
149184,151199,24615.73333333331,12.210185185185175,732.6111111111105,1468195.427220831,8607365146955.638
151200,153215,20348.283333333344,10.093394510582016,605.603670634921,1203461.926379965,8535003776255.28
153216,155231,22049.85000000004,10.937425595238114,656.2455357142868,1192497.750089478,7804607511140.111
155232,157247,19040.216666666693,9.44455191798943,566.6731150793659,1090715.680051267,8266826236142.308
157248,159263,20079.916666666657,9.96027612433862,597.6165674603171,1155038.333963644,8301061483422.792
159264,161279,18721.850000000013,9.286631944444451,557.1979166666671,1159929.497224385,8940915081031.715
161280,163295,19288.583333333325,9.567749669312166,574.0649801587299,1250757.739274659,9357762223917.924
163296,165311,19116.149999999994,9.48221726190476,568.9330357142856,1307728.360604068,9872252423863.135
165312,167327,20217.516666666652,10.028530092592586,601.7118055555552,1379647.439214294,9847805173050.48
167328,169343,18537.416666666675,9.19514715608466,551.7088293650796,1376302.26788638,10714298766589.18
169344,171359,20148.8,9.994444444444444,599.6666666666666,1496978.595025569,10721746706692.908
171360,173375,18572.333333333347,9.212466931216937,552.7480158730162,1498294.362816507,11642059497788.244
173376,175391,20783.000000000033,10.309027777777795,618.5416666666677,1626553.481328943,11294298159654.152
175392,177407,21088.000000000062,10.46031746031749,627.6190476190494,1577913.485676726,10798089768958.768
177408,179423,17555.616666666683,8.708143187830697,522.4885912698418,1508589.672060295,12400927815160.74
179424,181439,21962.633333333357,10.894163359788372,653.6498015873024,1733207.513848385,11388467603116.133
181440,183455,20261.583333333325,10.050388558201053,603.0233134920632,1591074.961847305,11332256603887.613
183456,185471,18500.100000000017,9.176636904761914,550.5982142857148,1583177.847444009,12349653344489.812
185472,187487,19878.433333333356,9.860333994709006,591.6200396825403,1726566.55919348,12534306495233.633
187488,189503,18926.250000000036,9.388020833333352,563.2812500000011,1751454.535340679,13354678412816.115
189504,191519,18478.083333333343,9.165715939153444,549.9429563492066,1866391.305003208,14576220176984.006
191520,193535,18773.50000000003,9.312251984126998,558.73511904762,2036671.08869332,15655782893255.002
193536,195551,18110.33333333332,8.983300264550259,538.9980158730156,2190865.970102859,17457759424717.36
195552,197567,18272.633333333306,9.063806216931203,543.8283730158722,2440642.606915963,19275346226965.434
197568,199583,18963.01666666667,9.406258267195769,564.3754960317461,2694047.952955013,20502037974991.508
199584,201599,18903.599999999944,9.376785714285687,562.6071428571412,2864140.507810974,21864972687203.457
201600,203615,20037.899999999983,9.939434523809515,596.3660714285709,3054627.526948636,21999114232435.215
203616,205631,18725.58333333333,9.288483796296294,557.3090277777776,3072321.732020756,23677207265841.797
205632,207647,19830.6833333333,9.836648478835963,590.1989087301578,3304356.392990344,24046304444644.035
207648,209663,19757.433333333265,9.80031415343912,588.0188492063471,3368767.140532939,24605919888379.375
